commodity,n_samples,mae,rmse,r2,accuracy,f1,roc_auc,brier_score
Brent,479,0.01426650651531434,0.019264461309783577,-0.06152098074907664,0.4968684759916493,0.5131313131313131,0.4766251656552975,0.2760086314763744
Henry_Hub,479,0.03437714388553952,0.04688031039361343,-0.0780009711413292,0.4968684759916493,0.4608501118568233,0.4942904463040446,0.2771831720062119
Power,665,0.398366730536011,0.6039405981017175,-0.04564674248554357,0.5052631578947369,0.4946236559139785,0.4997828761670406,0.2574602584582772
Copper,479,0.01250777538291607,0.019371242363444372,-0.08111544813491856,0.48643006263048016,0.5060240963855421,0.4777098514573991,0.287570160096822
Corn,491,0.011310198584850356,0.015252473194007292,-0.11098569233671252,0.4745417515274949,0.4579831932773109,0.4662317154255319,0.2790626802994647
