date,region,latitude,longitude,temp_avg_c,temp_avg_f,hdd,cdd,hdd_7,cdd_7,hdd_14,cdd_14,hdd_30,cdd_30
2021-12-02,San_Antonio_TX,29.424349,-98.491142,17.73,63.914,1.0859999999999985,0.0,8.574,0.0,6.761571428571428,0.16371428571428584,5.55,0.44819999999999993
2021-12-03,San_Antonio_TX,29.424349,-98.491142,19.76,67.568,0.0,2.567999999999998,6.474857142857141,0.36685714285714255,6.010285714285715,0.3471428571428571,5.4076,0.5337999999999998
2021-12-04,San_Antonio_TX,29.424349,-98.491142,20.17,68.30600000000001,0.0,3.3060000000000116,4.301142857142856,0.8391428571428585,5.694857142857144,0.5832857142857151,5.0048,0.6440000000000002
2021-12-05,San_Antonio_TX,29.424349,-98.491142,20.52,68.936,0.0,3.936000000000007,2.9425714285714273,1.4014285714285737,5.694857142857144,0.7658571428571445,4.614000000000001,0.7752000000000004
2021-12-06,San_Antonio_TX,29.424349,-98.491142,14.85,58.730000000000004,6.269999999999996,0.0,2.590285714285713,1.4014285714285737,5.603571428571429,0.7658571428571445,4.504199999999999,0.7752000000000004
2021-12-07,San_Antonio_TX,29.424349,-98.491142,12.57,54.626,10.374000000000002,0.0,2.9811428571428564,1.4014285714285737,5.828571428571428,0.7658571428571445,4.626000000000001,0.7752000000000004
2021-12-08,San_Antonio_TX,29.424349,-98.491142,15.85,60.53,4.469999999999999,0.0,3.171428571428571,1.4014285714285737,6.147857142857142,0.7007142857142868,4.716,0.7752000000000004
2021-12-09,San_Antonio_TX,29.424349,-98.491142,19.73,67.514,0.0,2.513999999999996,3.016285714285714,1.7605714285714302,5.795142857142856,0.8802857142857151,4.7128000000000005,0.8590000000000003
2021-12-10,San_Antonio_TX,29.424349,-98.491142,21.88,71.384,0.0,6.384,3.016285714285714,2.305714285714288,4.745571428571428,1.3362857142857152,4.7128000000000005,0.9346000000000003
2021-12-11,San_Antonio_TX,29.424349,-98.491142,12.09,53.762,11.238,0.0,4.621714285714285,1.8334285714285719,4.461428571428571,1.3362857142857152,5.041,0.9346000000000003
2021-12-12,San_Antonio_TX,29.424349,-98.491142,8.61,47.498,17.502000000000002,0.0,7.122,1.2711428571428567,5.032285714285714,1.3362857142857152,5.486199999999999,0.9346000000000003
2021-12-13,San_Antonio_TX,29.424349,-98.491142,13.76,56.768,8.232,0.0,7.402285714285715,1.2711428571428567,4.9962857142857136,1.3362857142857152,5.4982,0.9346000000000003
2021-12-14,San_Antonio_TX,29.424349,-98.491142,18.6,65.48,0.0,0.480000000000004,5.920285714285714,1.3397142857142856,4.450714285714286,1.3705714285714297,5.3918,0.9506000000000004
2021-12-15,San_Antonio_TX,29.424349,-98.491142,21.4,70.52,0.0,5.519999999999996,5.281714285714286,2.1282857142857137,4.226571428571428,1.7648571428571438,5.3918,1.0988000000000004
2021-12-16,San_Antonio_TX,29.424349,-98.491142,21.66,70.988,0.0,5.9879999999999995,5.281714285714286,2.6245714285714286,4.149,2.1925714285714295,5.3918,1.1996000000000004
2021-12-17,San_Antonio_TX,29.424349,-98.491142,21.17,70.10600000000001,0.0,5.106000000000009,5.281714285714286,2.442000000000001,4.149,2.3738571428571444,5.3918,1.2698000000000007
2021-12-18,San_Antonio_TX,29.424349,-98.491142,15.53,59.95399999999999,5.0460000000000065,0.0,4.397142857142859,2.442000000000001,4.509428571428572,2.1377142857142863,5.2598,1.2698000000000007
2021-12-19,San_Antonio_TX,29.424349,-98.491142,8.31,46.958,18.042,0.0,4.474285714285715,2.442000000000001,5.7981428571428575,1.856571428571429,5.5106,1.2698000000000007
2021-12-20,San_Antonio_TX,29.424349,-98.491142,9.23,48.614000000000004,16.385999999999996,0.0,5.639142857142858,2.442000000000001,6.520714285714286,1.856571428571429,5.9096,1.2698000000000007
2021-12-21,San_Antonio_TX,29.424349,-98.491142,10.45,50.81,14.189999999999998,0.0,7.666285714285714,2.373428571428572,6.793285714285714,1.856571428571429,6.3826,1.2238000000000009
2021-12-22,San_Antonio_TX,29.424349,-98.491142,13.34,56.012,8.988,0.0,8.950285714285714,1.584857142857144,7.116,1.856571428571429,6.4306,1.2238000000000009
2021-12-23,San_Antonio_TX,29.424349,-98.491142,15.58,60.044,4.956000000000003,0.0,9.658285714285714,0.7294285714285726,7.47,1.6770000000000007,6.355,1.2238000000000009
2021-12-24,San_Antonio_TX,29.424349,-98.491142,17.99,64.382,0.617999999999995,0.0,9.746571428571428,0.0,7.514142857142858,1.2210000000000005,6.3755999999999995,1.1934000000000007
2021-12-25,San_Antonio_TX,29.424349,-98.491142,19.14,66.452,0.0,1.4519999999999982,9.025714285714285,0.20742857142857116,6.711428571428572,1.3247142857142862,6.210999999999999,1.2418000000000007
2021-12-26,San_Antonio_TX,29.424349,-98.491142,18.9,66.02,0.0,1.019999999999996,6.448285714285713,0.3531428571428563,5.461285714285714,1.3975714285714287,5.721199999999999,1.2758000000000005
2021-12-27,San_Antonio_TX,29.424349,-98.491142,19.22,66.596,0.0,1.5960000000000036,4.107428571428571,0.5811428571428569,4.873285714285714,1.511571428571429,5.2139999999999995,1.3290000000000006
2021-12-28,San_Antonio_TX,29.424349,-98.491142,19.64,67.352,0.0,2.352000000000004,2.080285714285714,0.9171428571428574,4.873285714285714,1.6452857142857147,4.896999999999999,1.4074000000000007
2021-12-29,San_Antonio_TX,29.424349,-98.491142,19.96,67.928,0.0,2.9279999999999973,0.796285714285714,1.3354285714285712,4.873285714285714,1.4601428571428576,4.6057999999999995,1.5050000000000006
2021-12-30,San_Antonio_TX,29.424349,-98.491142,19.74,67.532,0.0,2.5319999999999965,0.08828571428571357,1.6971428571428564,4.873285714285714,1.2132857142857145,4.3512,1.5894000000000006
2021-12-31,San_Antonio_TX,29.424349,-98.491142,20.98,69.764,0.0,4.763999999999996,0.0,2.3777142857142843,4.873285714285714,1.1888571428571422,4.2466,1.7482000000000004
2022-01-01,San_Antonio_TX,29.424349,-98.491142,19.98,67.964,0.0,2.9639999999999986,0.0,2.5937142857142845,4.5128571428571425,1.400571428571428,4.210399999999999,1.8470000000000004
2022-01-02,San_Antonio_TX,29.424349,-98.491142,3.19,37.742,27.258000000000003,0.0,3.8940000000000006,2.4479999999999995,5.171142857142856,1.400571428571428,5.119,1.7614000000000005
2022-01-03,San_Antonio_TX,29.424349,-98.491142,4.97,40.946,24.054000000000002,0.0,7.330285714285715,2.219999999999999,5.718857142857142,1.400571428571428,5.9208,1.6512
2022-01-04,San_Antonio_TX,29.424349,-98.491142,8.41,47.138,17.862000000000002,0.0,9.882000000000001,1.8839999999999983,5.981142857142857,1.400571428571428,6.5161999999999995,1.5199999999999998
2022-01-05,San_Antonio_TX,29.424349,-98.491142,13.65,56.57,8.43,0.0,11.086285714285717,1.4657142857142844,5.941285714285714,1.400571428571428,6.5882000000000005,1.5199999999999998
2022-01-06,San_Antonio_TX,29.424349,-98.491142,9.79,49.622,15.378,0.0,13.283142857142858,1.1039999999999992,6.685714285714285,1.400571428571428,6.754999999999999,1.5199999999999998
2022-01-07,San_Antonio_TX,29.424349,-98.491142,4.82,40.676,24.323999999999998,0.0,16.758000000000003,0.4234285714285712,8.379000000000001,1.400571428571428,7.4168,1.5199999999999998
