Price,Close,High,Low,Open,Volume
Ticker,RB=F,RB=F,RB=F,RB=F,RB=F
Date,,,,,
2022-12-02,2.280400037765503,2.3613998889923096,2.2701001167297363,2.349400043487549,47091
2022-12-05,2.201900005340576,2.3480000495910645,2.196199893951416,2.2985000610351562,55355
2022-12-06,2.1491000652313232,2.2332000732421875,2.1287999153137207,2.2223000526428223,50861
2022-12-07,2.077199935913086,2.1689999103546143,2.0697999000549316,2.154599905014038,58206
2022-12-08,2.049099922180176,2.131200075149536,2.041300058364868,2.0796000957489014,46849
2022-12-09,2.0560998916625977,2.0801000595092773,2.0336999893188477,2.0552000999450684,42799
2022-12-12,2.0810000896453857,2.09660005569458,2.020400047302246,2.058199882507324,52735
2022-12-13,2.160900115966797,2.1756999492645264,2.0815000534057617,2.0903000831604004,48371
2022-12-14,2.2444000244140625,2.2523999214172363,2.147700071334839,2.157599925994873,41915
2022-12-15,2.166800022125244,2.2495999336242676,2.1642000675201416,2.248199939727783,33443
2022-12-16,2.1322999000549316,2.190000057220459,2.101300001144409,2.17930006980896,37659
2022-12-19,2.1775999069213867,2.195199966430664,2.131200075149536,2.144200086593628,30106
2022-12-20,2.2228000164031982,2.2339000701904297,2.15939998626709,2.187299966812134,32701
2022-12-21,2.2558000087738037,2.274899959564209,2.210700035095215,2.2237000465393066,24435
2022-12-22,2.248800039291382,2.290600061416626,2.2214999198913574,2.2669999599456787,35480
2022-12-23,2.3835999965667725,2.387700080871582,2.2497000694274902,2.265399932861328,29755
2022-12-27,2.3601999282836914,2.4175000190734863,2.352400064468384,2.3914999961853027,25189
2022-12-28,2.3629000186920166,2.3731000423431396,2.2967000007629395,2.3650999069213867,18270
2022-12-29,2.370699882507324,2.3866000175476074,2.3041000366210938,2.3589000701904297,21491
2022-12-30,2.4595000743865967,2.4809999465942383,2.375,2.375,48153
2023-01-03,2.3612000942230225,2.50570011138916,2.348400115966797,2.4909000396728516,65711
2023-01-04,2.259200096130371,2.3754000663757324,2.243299961090088,2.350100040435791,40222
2023-01-05,2.2671000957489014,2.3131000995635986,2.2553999423980713,2.268199920654297,47548
2023-01-06,2.2446000576019287,2.318700075149536,2.235599994659424,2.2699999809265137,45192
2023-01-09,2.2929000854492188,2.335599899291992,2.250999927520752,2.250999927520752,49984
2023-01-10,2.327699899673462,2.3485000133514404,2.2797000408172607,2.30049991607666,39725
2023-01-11,2.434499979019165,2.4407999515533447,2.30049991607666,2.3173999786376953,45669
2023-01-12,2.4753000736236572,2.4944000244140625,2.421600103378296,2.4423999786376953,41819
2023-01-13,2.5327999591827393,2.540800094604492,2.447200059890747,2.456899881362915,53767
2023-01-17,2.545099973678589,2.572499990463257,2.4918999671936035,2.5374999046325684,48127
2023-01-18,2.5234999656677246,2.59660005569458,2.509200096130371,2.5618999004364014,35030
2023-01-19,2.5968000888824463,2.6219000816345215,2.4879000186920166,2.5064001083374023,34417
2023-01-20,2.645400047302246,2.6675000190734863,2.5989999771118164,2.6036999225616455,33109
2023-01-23,2.696500062942505,2.7090001106262207,2.628499984741211,2.6528000831604004,28393
2023-01-24,2.648699998855591,2.6989998817443848,2.6319000720977783,2.6923000812530518,31893
2023-01-25,2.593400001525879,2.7135000228881836,2.5785000324249268,2.6782000064849854,24843
2023-01-26,2.6120998859405518,2.6589999198913574,2.5618999004364014,2.588200092315674,22829
2023-01-27,2.588599920272827,2.642199993133545,2.5636000633239746,2.609999895095825,23176
2023-01-30,2.4988999366760254,2.602799892425537,2.493000030517578,2.5859999656677246,17652
2023-01-31,2.5434999465942383,2.552000045776367,2.472100019454956,2.50600004196167,59411
2023-02-01,2.4537999629974365,2.594099998474121,2.4310998916625977,2.5625998973846436,59677
2023-02-02,2.4523000717163086,2.493000030517578,2.440200090408325,2.456700086593628,44327
2023-02-03,2.321000099182129,2.47189998626709,2.313699960708618,2.452899932861328,63880
2023-02-06,2.3733999729156494,2.384200096130371,2.2720000743865967,2.3115999698638916,62798
2023-02-07,2.4567999839782715,2.4670000076293945,2.3738999366760254,2.3963000774383545,60964
2023-02-08,2.4628000259399414,2.484999895095825,2.406399965286255,2.4514000415802,52671
2023-02-09,2.447499990463257,2.4839999675750732,2.4045000076293945,2.469099998474121,46981
2023-02-10,2.503700017929077,2.5137999057769775,2.426300048828125,2.4356000423431396,48676
2023-02-13,2.531100034713745,2.5336999893188477,2.465399980545044,2.506500005722046,50054
2023-02-14,2.4885001182556152,2.526099920272827,2.4398999214172363,2.5141000747680664,46843
2023-02-15,2.49780011177063,2.5088000297546387,2.4219000339508057,2.4776999950408936,44176
2023-02-16,2.435499906539917,2.515199899673462,2.4117000102996826,2.4911999702453613,38163
2023-02-17,2.4082000255584717,2.4217000007629395,2.3340001106262207,2.4191999435424805,40206
2023-02-21,2.415600061416626,2.4553000926971436,2.402100086212158,2.4045000076293945,32244
2023-02-22,2.337599992752075,2.4312000274658203,2.3203999996185303,2.4156999588012695,31901
2023-02-23,2.379499912261963,2.401700019836426,2.319999933242798,2.3217999935150146,32441
2023-02-24,2.3587000370025635,2.4058001041412354,2.309299945831299,2.3854000568389893,25979
2023-02-27,2.368299961090088,2.378000020980835,2.3287999629974365,2.360300064086914,25609
2023-02-28,2.434299945831299,2.447499990463257,2.3784000873565674,2.394200086593628,41961
2023-03-01,2.674799919128418,2.6770999431610107,2.6256000995635986,2.6419999599456787,41942
2023-03-02,2.7002999782562256,2.7072999477386475,2.6582999229431152,2.6786000728607178,34319
2023-03-03,2.7504000663757324,2.7569000720977783,2.623500108718872,2.6926000118255615,50425
2023-03-06,2.7964999675750732,2.7992000579833984,2.708699941635132,2.755000114440918,52713
2023-03-07,2.700700044631958,2.8122000694274902,2.677999973297119,2.7962000370025635,48517
2023-03-08,2.6888999938964844,2.7000999450683594,2.6542000770568848,2.6851999759674072,47945
2023-03-09,2.60509991645813,2.706899881362915,2.599600076675415,2.684000015258789,52565
2023-03-10,2.6458001136779785,2.6582000255584717,2.567699909210205,2.601099967956543,51780
2023-03-13,2.591399908065796,2.6710000038146973,2.5236001014709473,2.645900011062622,57326
2023-03-14,2.552999973297119,2.6126999855041504,2.536900043487549,2.607800006866455,53796
2023-03-15,2.4384000301361084,2.5964999198913574,2.386199951171875,2.5604000091552734,53573
2023-03-16,2.503499984741211,2.5100998878479004,2.379499912261963,2.4628000259399414,46622
2023-03-17,2.501499891281128,2.5597000122070312,2.4472999572753906,2.4935998916625977,50274
2023-03-20,2.5360000133514404,2.5376999378204346,2.409600019454956,2.501499891281128,32752
2023-03-21,2.5388998985290527,2.5708000659942627,2.505500078201294,2.5360000133514404,32348
2023-03-22,2.5931999683380127,2.601799964904785,2.5143001079559326,2.5243000984191895,29844
2023-03-23,2.6059000492095947,2.651900053024292,2.566499948501587,2.566699981689453,30784
2023-03-24,2.5885000228881836,2.619999885559082,2.5325000286102295,2.590100049972534,26173
2023-03-27,2.6842000484466553,2.694000005722046,2.5664000511169434,2.5908000469207764,27583
2023-03-28,2.712100028991699,2.7230000495910645,2.653899908065796,2.684299945831299,27785
2023-03-29,2.668100118637085,2.7360000610351562,2.650099992752075,2.7183001041412354,15321
2023-03-30,2.661400079727173,2.6953999996185303,2.628200054168701,2.658799886703491,17957
2023-03-31,2.700500011444092,2.7207999229431152,2.6387999057769775,2.6500000953674316,58782
2023-04-03,2.757499933242798,2.823199987411499,2.7432000637054443,2.7920000553131104,55267
2023-04-04,2.7370998859405518,2.789799928665161,2.7016000747680664,2.7606000900268555,48634
2023-04-05,2.8201000690460205,2.8245999813079834,2.739500045776367,2.7585999965667725,83356
2023-04-06,2.8132998943328857,2.8427999019622803,2.788800001144409,2.8210999965667725,0
2023-04-10,2.8078999519348145,2.826200008392334,2.7655999660491943,2.812000036239624,55008
2023-04-11,2.8652000427246094,2.8682000637054443,2.7839999198913574,2.8125,63464
2023-04-12,2.8726999759674072,2.8942999839782715,2.815200090408325,2.8524999618530273,72235
2023-04-13,2.831700086593628,2.861599922180176,2.8236000537872314,2.861599922180176,56053
2023-04-14,2.835900068283081,2.845099925994873,2.7994000911712646,2.8376998901367188,56395
2023-04-17,2.7739999294281006,2.8345999717712402,2.754300117492676,2.817699909210205,44765
2023-04-18,2.7509000301361084,2.7867000102996826,2.7211999893188477,2.775599956512451,39445
2023-04-19,2.6454999446868896,2.7537999153137207,2.636899948120117,2.741300106048584,37800
2023-04-20,2.586400032043457,2.644700050354004,2.5571000576019287,2.644700050354004,33195
2023-04-21,2.601599931716919,2.640000104904175,2.580399990081787,2.5875000953674316,33783
2023-04-24,2.6317999362945557,2.6456000804901123,2.5515999794006348,2.601599931716919,28132
2023-04-25,2.588599920272827,2.6524999141693115,2.5555999279022217,2.6298999786376953,35643
2023-04-26,2.5494000911712646,2.618000030517578,2.5416998863220215,2.6001999378204346,25449
2023-04-27,2.5327999591827393,2.563699960708618,2.5174999237060547,2.5494000911712646,21146
2023-04-28,2.578000068664551,2.5950000286102295,2.5327999591827393,2.5353000164031982,60474
2023-05-01,2.5504000186920166,2.558000087738037,2.474400043487549,2.5325000286102295,58592
2023-05-02,2.435699939727783,2.559999942779541,2.4240000247955322,2.5525999069213867,61666
2023-05-03,2.3220999240875244,2.4370999336242676,2.3041000366210938,2.434000015258789,68848
2023-05-04,2.325900077819824,2.359100103378296,2.25,2.302999973297119,65808
2023-05-05,2.378999948501587,2.4000000953674316,2.3208000659942627,2.325500011444092,49696
2023-05-08,2.4616000652313232,2.4697999954223633,2.377000093460083,2.3821001052856445,53032
2023-05-09,2.4798998832702637,2.4839999675750732,2.412100076675415,2.4451000690460205,55212
