region,week,hdd_weekly_sum,cdd_weekly_sum,hdd_7day_avg,cdd_7day_avg,hdd_14day_avg,cdd_14day_avg,hdd_30day_avg,cdd_30day_avg,temp_avg_f,temp_avg_c,latitude,longitude
San_Antonio_TX,2020-12-21,79.35000000000001,0.0,11.555020408163264,0.0,12.797204081632653,0.0,13.011875726725055,0.0,53.66428571428571,12.035714285714286,29.424349,-98.491142
San_Antonio_TX,2020-12-28,94.806,0.804000000000002,10.95661224489796,0.09844897959183697,11.255816326530612,0.04922448979591849,12.39084863614765,0.02380231448901406,51.57114285714285,10.872857142857143,29.424349,-98.491142
San_Antonio_TX,2021-01-04,111.822,0.0,15.283469387755103,0.016408163265306162,13.120040816326531,0.05742857142857157,12.656714285714285,0.026800000000000067,49.02542857142857,9.458571428571428,29.424349,-98.491142
San_Antonio_TX,2021-01-11,142.962,0.0,21.51085714285714,0.0,18.397163265306123,0.008204081632653081,14.909885714285716,0.026800000000000067,44.57685714285714,6.9871428571428575,29.424349,-98.491142
San_Antonio_TX,2021-01-18,43.614,0.7319999999999993,11.868612244897959,0.014938775510204066,16.68973469387755,0.007469387755102033,14.681428571428572,0.03028571428571435,58.874,14.929999999999998,29.424349,-98.491142
San_Antonio_TX,2021-01-25,63.888,0.0,6.757102040816327,0.0896326530612244,9.312857142857142,0.052285714285714234,13.79337142857143,0.03588571428571429,55.87314285714286,13.262857142857143,29.424349,-98.491142
San_Antonio_TX,2021-02-01,67.90200000000002,0.0,10.005183673469388,0.0,8.381142857142859,0.0448163265306122,12.717142857142859,0.024399999999999977,55.29971428571429,12.944285714285714,29.424349,-98.491142
San_Antonio_TX,2021-02-08,150.27,0.0,12.532163265306123,0.0,11.268673469387753,0.0,11.032685714285716,0.024399999999999977,43.53285714285715,6.4071428571428575,29.424349,-98.491142
San_Antonio_TX,2021-02-15,218.724,0.0,33.69171428571429,0.0,23.111938775510204,0.0,15.174742857142858,0.024399999999999977,33.75371428571429,0.9742857142857143,29.424349,-98.491142
San_Antonio_TX,2021-02-22,23.046,8.64,12.963551020408163,0.34579591836734697,23.327632653061226,0.17289795918367348,16.711028571428574,0.08417142857142858,62.942,17.19,29.424349,-98.491142
San_Antonio_TX,2021-03-01,58.614000000000004,0.0,6.147918367346939,0.8884897959183674,9.555734693877552,0.6171428571428572,15.876000000000001,0.288,56.62657142857143,13.68142857142857,29.424349,-98.491142
San_Antonio_TX,2021-03-08,8.279999999999994,21.072000000000017,4.015714285714285,1.4199183673469395,5.081816326530613,1.1542040816326533,14.562714285714284,0.6193142857142859,66.82742857142857,19.34857142857143,29.424349,-98.491142
San_Antonio_TX,2021-03-15,30.413999999999994,6.341999999999999,1.849959183673469,2.346489795918369,2.932836734693877,1.8832040816326543,8.055514285714285,1.1668285714285722,61.561142857142855,16.422857142857143,29.424349,-98.491142
San_Antonio_TX,2021-03-22,0.9839999999999947,14.010000000000005,2.764530612244897,1.0826938775510209,2.307244897959183,1.7145918367346948,3.7074285714285713,1.403342857142858,66.86085714285714,19.367142857142856,29.424349,-98.491142
San_Antonio_TX,2021-03-29,13.692000000000007,5.207999999999998,1.0335918367346937,1.6590612244897958,1.8990612244897953,1.3708775510204083,2.767228571428571,1.536285714285715,63.788,17.66,29.424349,-98.491142
San_Antonio_TX,2021-04-05,0.0,66.12599999999999,0.9562040816326539,5.351020408163265,0.9948979591836737,3.50504081632653,1.6596285714285712,2.6365142857142865,74.44657142857143,23.58142857142857,29.424349,-98.491142
San_Antonio_TX,2021-04-12,8.399999999999999,52.85400000000001,0.2699999999999999,9.86130612244898,0.6131020408163269,7.606163265306122,1.4432285714285713,4.249685714285714,71.35057142857143,21.861428571428572,29.424349,-98.491142
San_Antonio_TX,2021-04-19,7.391999999999996,26.951999999999998,1.6522040816326524,3.305510204081633,0.9611020408163263,6.5834081632653065,0.9457428571428571,4.841371428571429,67.79428571428572,19.885714285714283,29.424349,-98.491142
San_Antonio_TX,2021-04-26,0.0,62.238,0.3337959183673466,8.26542857142857,0.9929999999999997,5.785469387755102,0.8790571428571429,6.299028571428572,73.89114285714287,23.27285714285714,29.424349,-98.491142
San_Antonio_TX,2021-05-03,0.0,67.58399999999999,0.0,8.254897959183674,0.1668979591836733,8.260163265306122,0.5285714285714285,7.5184,74.65485714285714,23.697142857142858,29.424349,-98.491142
San_Antonio_TX,2021-05-10,0.0,54.390000000000015,0.0,9.222857142857142,0.0,8.738877551020408,0.5263999999999999,7.319771428571428,72.77,22.650000000000002,29.424349,-98.491142
San_Antonio_TX,2021-05-17,0.0,64.30799999999999,0.0,8.544367346938774,0.0,8.883612244897959,0.1652857142857142,8.218571428571428,74.18685714285714,23.437142857142856,29.424349,-98.491142
San_Antonio_TX,2021-05-24,0.0,81.804,0.0,10.530979591836736,0.0,9.537673469387755,0.0,9.124114285714287,76.68628571428572,24.825714285714287,29.424349,-98.491142
San_Antonio_TX,2021-05-31,0.0,64.884,0.0,10.066653061224489,0.0,10.298816326530613,0.0,9.555514285714285,74.26914285714285,23.482857142857142,29.424349,-98.491142
San_Antonio_TX,2021-06-07,0.0,106.428,0.0,12.505469387755102,0.0,11.286061224489796,0.0,10.25957142857143,80.204,26.78,29.424349,-98.491142
San_Antonio_TX,2021-06-14,0.0,121.512,0.0,16.779551020408164,0.0,14.642510204081633,0.0,12.268714285714285,82.35885714285713,27.97714285714286,29.424349,-98.491142
San_Antonio_TX,2021-06-21,0.0,129.756,0.0,18.115224489795917,0.0,17.44738775510204,0.0,14.1756,83.53657142857142,28.631428571428575,29.424349,-98.491142
